PInumber,Alleles,CAP
PI533776,major,Keep
PI533776,major,Keep
PI533776,major,Keep
PI533845,major,Keep
PI533845,major,Keep
PI533845,major,Keep
PI533852,major,Keep
PI533852,major,Keep
PI533852,major,Keep
PI656013,major,Keep
PI656013,major,Keep
PI656013,major,Keep
PI656046,major,Keep
PI656046,major,Keep
PI656046,major,Keep
PI656103,major,Keep
PI656103,major,Keep
PI656103,major,Keep
PI534009,minor,Keep
PI534009,minor,Keep
PI534009,minor,Keep
PI576359,minor,Keep
PI576359,minor,Keep
PI576359,minor,Keep
PI576390,minor,Keep
PI576390,minor,Keep
PI576390,minor,Keep
PI597949,minor,Keep
PI597949,minor,Keep
PI597949,minor,Keep
PI598069,minor,Keep
PI598069,minor,Keep
PI598069,minor,Keep
PI656113,minor,Keep
PI656113,minor,Keep
PI656113,minor,Keep
PI533855,major,Other
PI533855,major,Other
PI533855,major,Other
PI48770,major,Other
PI48770,major,Other
PI48770,major,Other
PI533750,major,Other
PI533750,major,Other
PI533750,major,Other
PI533789,major,Other
PI533789,major,Other
PI533789,major,Other
PI533800,major,Other
PI533800,major,Other
PI533800,major,Other
PI533810,major,Other
PI533810,major,Other
PI533810,major,Other
PI533838,major,Other
PI533838,major,Other
PI533838,major,Other
PI533839,major,Other
PI533839,major,Other
PI533839,major,Other
PI533839,major,Other
PI533839,major,Other
PI533839,major,Other
PI533841,major,Other
PI533841,major,Other
PI533841,major,Other
PI533842,major,Other
PI533842,major,Other
PI533842,major,Other
PI533843,major,Other
PI533843,major,Other
PI533843,major,Other
PI533866,major,Other
PI533866,major,Other
PI533866,major,Other
PI533869,major,Other
PI533869,major,Other
PI533869,major,Other
PI533876,major,Other
PI533876,major,Other
PI533876,major,Other
PI533877,major,Other
PI533877,major,Other
PI533877,major,Other
PI533902,major,Other
PI533902,major,Other
PI533902,major,Other
PI533912,major,Other
PI533912,major,Other
PI533912,major,Other
PI533913,major,Other
PI533913,major,Other
PI533913,major,Other
PI533927,major,Other
PI533927,major,Other
PI533927,major,Other
PI533936,major,Other
PI533936,major,Other
PI533936,major,Other
PI533938,major,Other
PI533938,major,Other
PI533938,major,Other
PI533939,major,Other
PI533939,major,Other
PI533939,major,Other
PI533940,major,Other
PI533940,major,Other
PI533940,major,Other
PI533956,major,Other
PI533956,major,Other
PI533956,major,Other
PI533961,major,Other
PI533961,major,Other
PI533961,major,Other
PI533965,major,Other
PI533965,major,Other
PI533965,major,Other
PI533967,major,Other
PI533967,major,Other
PI533967,major,Other
PI533970,major,Other
PI533970,major,Other
PI533970,major,Other
PI533976,major,Other
PI533976,major,Other
PI533976,major,Other
PI533979,major,Other
PI533979,major,Other
PI533979,major,Other
PI533985,major,Other
PI533985,major,Other
PI533985,major,Other
PI533986,major,Other
PI533986,major,Other
PI533986,major,Other
PI533987,major,Other
PI533987,major,Other
PI533987,major,Other
PI533991,major,Other
PI533991,major,Other
PI533991,major,Other
