	sb6_B4	sb6_B5	sb6_B6	sb42_B4	sb42_B5	sb42_B6	sb41_B4	sb41_B5	sb41_B6	sb46_B4	sb46_B5	sb46_B6	sb48_B4	sb48_B5	sb48_B6	sb64_B4	sb64_B5	sb64_B6	sb112_B4	sb112_B5	sb112_B6	sb163_B4	sb163_B5	sb163_B6	sb181_B4	sb181_B5	sb181_B6	sb184_B4	sb184_B5	sb184_B6	sb196_B4	sb196_B5	sb196_B6	sb201_B4	sb201_B5	sb201_B6	sb212_B4	sb212_B5	sb212_B6	sb235_B4	sb235_B5	sb235_B6	sb258_B4	sb258_B5	sb258_B6	sb316_B4	sb316_B5	sb316_B6	sb325_B4	sb325_B5	sb325_B6	sb334_B4	sb334_B5	sb334_B6	sb337_B4	sb337_B5	sb337_B6	sb363_B4	sb363_B5	sb363_B6	sb366_B4	sb366_B5	sb366_B6	sb374_B4	sb374_B5	sb374_B6	sb375_B4	sb375_B5	sb375_B6	sb399_B4	sb399_B5	sb399_B6
sb6_B4	0	0	0	0.27388364	0.27388364	0.27388364	0.28387097	0.28387097	0.28387097	0.15540522	0.15540522	0.15540522	0.15655504	0.15655504	0.15655504	0.18283372	0.18283372	0.18283372	0.20886615	0.20886615	0.20886615	0.045303732	0.045303732	0.045303732	0.2079097	0.2079097	0.2079097	0.19340634	0.19340634	0.19340634	0.20187886	0.20187886	0.20187886	0.20792569	0.20792569	0.20792569	0.15872401	0.15872401	0.15872401	0.2957747	0.2957747	0.2957747	0.05422188	0.05422188	0.05422188	0.2136179	0.2136179	0.2136179	0.21785855	0.21785855	0.21785855	0.14324796	0.14324796	0.14324796	0.21417527	0.21417527	0.21417527	0.2045114	0.2045114	0.2045114	0.17610638	0.17610638	0.17610638	0.22314325	0.22314325	0.22314325	0.21299928	0.21299928	0.21299928	0.18764743	0.18764743	0.18764743
sb6_B5	0	0	0	0.27388364	0.27388364	0.27388364	0.28387097	0.28387097	0.28387097	0.15540522	0.15540522	0.15540522	0.15655504	0.15655504	0.15655504	0.18283372	0.18283372	0.18283372	0.20886615	0.20886615	0.20886615	0.045303732	0.045303732	0.045303732	0.2079097	0.2079097	0.2079097	0.19340634	0.19340634	0.19340634	0.20187886	0.20187886	0.20187886	0.20792569	0.20792569	0.20792569	0.15872401	0.15872401	0.15872401	0.2957747	0.2957747	0.2957747	0.05422188	0.05422188	0.05422188	0.2136179	0.2136179	0.2136179	0.21785855	0.21785855	0.21785855	0.14324796	0.14324796	0.14324796	0.21417527	0.21417527	0.21417527	0.2045114	0.2045114	0.2045114	0.17610638	0.17610638	0.17610638	0.22314325	0.22314325	0.22314325	0.21299928	0.21299928	0.21299928	0.18764743	0.18764743	0.18764743
sb6_B6	0	0	0	0.27388364	0.27388364	0.27388364	0.28387097	0.28387097	0.28387097	0.15540522	0.15540522	0.15540522	0.15655504	0.15655504	0.15655504	0.18283372	0.18283372	0.18283372	0.20886615	0.20886615	0.20886615	0.045303732	0.045303732	0.045303732	0.2079097	0.2079097	0.2079097	0.19340634	0.19340634	0.19340634	0.20187886	0.20187886	0.20187886	0.20792569	0.20792569	0.20792569	0.15872401	0.15872401	0.15872401	0.2957747	0.2957747	0.2957747	0.05422188	0.05422188	0.05422188	0.2136179	0.2136179	0.2136179	0.21785855	0.21785855	0.21785855	0.14324796	0.14324796	0.14324796	0.21417527	0.21417527	0.21417527	0.2045114	0.2045114	0.2045114	0.17610638	0.17610638	0.17610638	0.22314325	0.22314325	0.22314325	0.21299928	0.21299928	0.21299928	0.18764743	0.18764743	0.18764743
sb42_B4	0.27388364	0.27388364	0.27388364	0	0	0	0.016814567	0.016814567	0.016814567	0.2777511	0.2777511	0.2777511	0.28444853	0.28444853	0.28444853	0.27602863	0.27602863	0.27602863	0.2529032	0.2529032	0.2529032	0.28442585	0.28442585	0.28442585	0.2826951	0.2826951	0.2826951	0.27965617	0.27965617	0.27965617	0.29432234	0.29432234	0.29432234	0.28369367	0.28369367	0.28369367	0.27068004	0.27068004	0.27068004	0.062460802	0.062460802	0.062460802	0.27896062	0.27896062	0.27896062	0.29266778	0.29266778	0.29266778	0.2964497	0.2964497	0.2964497	0.28372192	0.28372192	0.28372192	0.28994688	0.28994688	0.28994688	0.2762873	0.2762873	0.2762873	0.27742502	0.27742502	0.27742502	0.266618	0.266618	0.266618	0.2540979	0.2540979	0.2540979	0.28328398	0.28328398	0.28328398
sb42_B5	0.27388364	0.27388364	0.27388364	0	0	0	0.016814567	0.016814567	0.016814567	0.2777511	0.2777511	0.2777511	0.28444853	0.28444853	0.28444853	0.27602863	0.27602863	0.27602863	0.2529032	0.2529032	0.2529032	0.28442585	0.28442585	0.28442585	0.2826951	0.2826951	0.2826951	0.27965617	0.27965617	0.27965617	0.29432234	0.29432234	0.29432234	0.28369367	0.28369367	0.28369367	0.27068004	0.27068004	0.27068004	0.062460802	0.062460802	0.062460802	0.27896062	0.27896062	0.27896062	0.29266778	0.29266778	0.29266778	0.2964497	0.2964497	0.2964497	0.28372192	0.28372192	0.28372192	0.28994688	0.28994688	0.28994688	0.2762873	0.2762873	0.2762873	0.27742502	0.27742502	0.27742502	0.266618	0.266618	0.266618	0.2540979	0.2540979	0.2540979	0.28328398	0.28328398	0.28328398
sb42_B6	0.27388364	0.27388364	0.27388364	0	0	0	0.016814567	0.016814567	0.016814567	0.2777511	0.2777511	0.2777511	0.28444853	0.28444853	0.28444853	0.27602863	0.27602863	0.27602863	0.2529032	0.2529032	0.2529032	0.28442585	0.28442585	0.28442585	0.2826951	0.2826951	0.2826951	0.27965617	0.27965617	0.27965617	0.29432234	0.29432234	0.29432234	0.28369367	0.28369367	0.28369367	0.27068004	0.27068004	0.27068004	0.062460802	0.062460802	0.062460802	0.27896062	0.27896062	0.27896062	0.29266778	0.29266778	0.29266778	0.2964497	0.2964497	0.2964497	0.28372192	0.28372192	0.28372192	0.28994688	0.28994688	0.28994688	0.2762873	0.2762873	0.2762873	0.27742502	0.27742502	0.27742502	0.266618	0.266618	0.266618	0.2540979	0.2540979	0.2540979	0.28328398	0.28328398	0.28328398
sb41_B4	0.28387097	0.28387097	0.28387097	0.016814567	0.016814567	0.016814567	0	0	0	0.29097152	0.29097152	0.29097152	0.29203653	0.29203653	0.29203653	0.28545034	0.28545034	0.28545034	0.26256835	0.26256835	0.26256835	0.29015625	0.29015625	0.29015625	0.2857911	0.2857911	0.2857911	0.28279972	0.28279972	0.28279972	0.29646686	0.29646686	0.29646686	0.29537016	0.29537016	0.29537016	0.28431213	0.28431213	0.28431213	0.0872995	0.0872995	0.0872995	0.2881176	0.2881176	0.2881176	0.30260566	0.30260566	0.30260566	0.30472127	0.30472127	0.30472127	0.29387718	0.29387718	0.29387718	0.29947308	0.29947308	0.29947308	0.28140804	0.28140804	0.28140804	0.2866654	0.2866654	0.2866654	0.2716924	0.2716924	0.2716924	0.26335433	0.26335433	0.26335433	0.29000312	0.29000312	0.29000312
sb41_B5	0.28387097	0.28387097	0.28387097	0.016814567	0.016814567	0.016814567	0	0	0	0.29097152	0.29097152	0.29097152	0.29203653	0.29203653	0.29203653	0.28545034	0.28545034	0.28545034	0.26256835	0.26256835	0.26256835	0.29015625	0.29015625	0.29015625	0.2857911	0.2857911	0.2857911	0.28279972	0.28279972	0.28279972	0.29646686	0.29646686	0.29646686	0.29537016	0.29537016	0.29537016	0.28431213	0.28431213	0.28431213	0.0872995	0.0872995	0.0872995	0.2881176	0.2881176	0.2881176	0.30260566	0.30260566	0.30260566	0.30472127	0.30472127	0.30472127	0.29387718	0.29387718	0.29387718	0.29947308	0.29947308	0.29947308	0.28140804	0.28140804	0.28140804	0.2866654	0.2866654	0.2866654	0.2716924	0.2716924	0.2716924	0.26335433	0.26335433	0.26335433	0.29000312	0.29000312	0.29000312
sb41_B6	0.28387097	0.28387097	0.28387097	0.016814567	0.016814567	0.016814567	0	0	0	0.29097152	0.29097152	0.29097152	0.29203653	0.29203653	0.29203653	0.28545034	0.28545034	0.28545034	0.26256835	0.26256835	0.26256835	0.29015625	0.29015625	0.29015625	0.2857911	0.2857911	0.2857911	0.28279972	0.28279972	0.28279972	0.29646686	0.29646686	0.29646686	0.29537016	0.29537016	0.29537016	0.28431213	0.28431213	0.28431213	0.0872995	0.0872995	0.0872995	0.2881176	0.2881176	0.2881176	0.30260566	0.30260566	0.30260566	0.30472127	0.30472127	0.30472127	0.29387718	0.29387718	0.29387718	0.29947308	0.29947308	0.29947308	0.28140804	0.28140804	0.28140804	0.2866654	0.2866654	0.2866654	0.2716924	0.2716924	0.2716924	0.26335433	0.26335433	0.26335433	0.29000312	0.29000312	0.29000312
sb46_B4	0.15540522	0.15540522	0.15540522	0.2777511	0.2777511	0.2777511	0.29097152	0.29097152	0.29097152	0	0	0	0.08837454	0.08837454	0.08837454	0.18116012	0.18116012	0.18116012	0.20813827	0.20813827	0.20813827	0.15606815	0.15606815	0.15606815	0.20167533	0.20167533	0.20167533	0.19152376	0.19152376	0.19152376	0.19959897	0.19959897	0.19959897	0.20275797	0.20275797	0.20275797	0.07062896	0.07062896	0.07062896	0.303605	0.303605	0.303605	0.15426768	0.15426768	0.15426768	0.20276505	0.20276505	0.20276505	0.21007213	0.21007213	0.21007213	0.18401259	0.18401259	0.18401259	0.19995941	0.19995941	0.19995941	0.20851488	0.20851488	0.20851488	0.19544777	0.19544777	0.19544777	0.22329108	0.22329108	0.22329108	0.20985618	0.20985618	0.20985618	0.190751	0.190751	0.190751
