Order	Count	Group
Sphingobacteriales	90	all
Actinomycetales	90	all
Verrucomicrobiales	36	all
Myxococcales	76	all
Gemmatimonadales	62	all
Rhodospirillales	63	all
Planctomycetales	31	all
Burkholderiales	31	all
Acidobacteriales	39	all
Rhizobiales	31	all
Solirubrobacterales	32	all
Xanthomonadales	34	all
Solibacterales	29	all
Spartobacteriales	27	all
Bacillales	42	all
TM7PH	36	all
Flavobacteriales	6	all
Other	434	all
Sphingobacteriales	30	herit
Actinomycetales	27	herit
Verrucomicrobiales	26	herit
Myxococcales	20	herit
Gemmatimonadales	19	herit
Rhodospirillales	18	herit
Planctomycetales	18	herit
Burkholderiales	16	herit
Acidobacteriales	14	herit
Rhizobiales	14	herit
Solirubrobacterales	9	herit
Xanthomonadales	8	herit
Solibacterales	8	herit
Spartobacteriales	8	herit
Bacillales	6	herit
TM7PH	6	herit
Flavobacteriales	6	herit
Other	94	herit
Sphingobacteriales	60	non_herit
Actinomycetales	63	non_herit
Verrucomicrobiales	10	non_herit
Myxococcales	56	non_herit
Gemmatimonadales	43	non_herit
Rhodospirillales	45	non_herit
Planctomycetales	13	non_herit
Burkholderiales	15	non_herit
Acidobacteriales	25	non_herit
Rhizobiales	17	non_herit
Solirubrobacterales	23	non_herit
Xanthomonadales	26	non_herit
Solibacterales	21	non_herit
Spartobacteriales	19	non_herit
Bacillales	36	non_herit
TM7PH	30	non_herit
Flavobacteriales	0	non_herit
Other	340	non_herit
