Order	Count	RelativeAbundance	all_abun	Abundance_Log2	NormCount	NormRelAbun	Sig_count_Y-N	Top17	Top17_legend	Top17_color	Rank
Sphingobacteriales	-1	0.332381334	641385	19.29083109	0.27888457	1.611102541	N	1	1	Sphingobacteriales	97
Actinomycetales	-1.222392421	-0.707661982	1175796	20.16520634	0.056492149	0.571183571	N	1	2	Actinomycetales	100
Verrucomicrobiales	1.378511623	3.020516894	274513	18.06651495	2.657396194	4.310985414	Y	1	3	Verrucomicrobiales	86
Myxococcales	-1.485426827	-1.570614555	343031	18.38797943	-0.206542257	-0.296024266	N	1	4	Myxococcales	87
Gemmatimonadales	-1.178337241	-0.756765593	543120	19.05091146	0.100547329	0.522417071	N	1	5	Gemmatimonadales	91
Rhodospirillales	-1.321928095	-1.468978308	582437	19.15174248	-0.043043524	-0.193703951	N	1	6	Rhodospirillales	94
Planctomycetales	0.469485283	2.306617353	163941	17.32281718	1.748369854	3.588212629	Y	1	7	Planctomycetales	83
Burkholderiales	0.093109404	1.526561743	703017	19.42320005	1.371993975	2.805548431	Y	1	8	Burkholderiales	99
Acidobacteriales	-0.836501268	-1.21869209	564669	19.1070459	0.442383303	0.062309476	N	1	9	Acidobacteriales	93
Rhizobiales	-0.280107919	1.058240916	628518	19.26159454	0.998776651	2.336931856	N	1	10	Rhizobiales	96
Solirubrobacterales	-1.353636955	-1.193925992	163322	17.31735961	-0.074752384	0.084068394	N	1	11	Solirubrobacterales	82
Xanthomonadales	-1.700439718	-0.943936112	379824	18.53497154	-0.421555148	0.333076671	N	1	12	Xanthomonadales	89
Solibacterales	-1.392317423	-0.493370936	346352	18.40187948	-0.113432852	0.786632444	N	1	13	Solibacterales	88
Spartobacteriales	-1.247927513	-0.03328525	70046	16.09601505	0.030957057	1.254222516	N	1	14	Spartobacteriales	76
Bacillales	-2.584962501	2.480011858	643744	19.29612756	-1.30607793	3.755803616	Y	1	15	Bacillales	98
TM7PH	-2.321928095	0.128296466	116260	16.82699529	-1.043043524	1.412151101	N	1	16	TM7PH	78
Flavobacteriales	3	3	38993	15.25092754	4	4.25	Y	1	17	Flavobacteriales	0
AcidobacteriaPH	-2.070389328	-5.764536145	626259	19.25639991	-0.791504757	-4.478812465	N	0	18	Other	95
Sphingomonadales	-1.222392421	2.460584185	560074	19.09525793	0.056492149	3.740136625	N	0	18	Other	92
BetaproteobacteriaCL	-2.169925001	-1.83682974	400789	18.61248339	-0.891040431	-0.554866086	N	0	18	Other	90
MC47	-2.502500341	-2.247455813	236928	17.85408918	-1.22361577	-0.965737798	N	0	18	Other	85
KtedonobacteriaCL	-1.678071905	1.447294806	205255	17.64705784	-0.399187335	2.726866168	N	0	18	Other	84
ChloracidobacteriaCL	-2.321928095	-2.892735171	154488	17.23713525	-1.043043524	-1.599809133	N	0	18	Other	81
Caulobacterales	-2.321928095	0.706157424	151748	17.21131798	-1.043043524	1.988542819	N	0	18	Other	80
AlphaproteobacteriaCL	-2.169925001	-1.599293458	140347	17.0986387	-0.891040431	-0.322566053	N	0	18	Other	79
Acidimicrobiales	-2.137503524	-1.354005345	82945	16.3398674	-0.858618953	-0.0795694	N	0	18	Other	77
ThermomicrobiaCL	-1.459431619	-1.345657091	66158	16.013628	-0.180547048	-0.070699867	N	0	18	Other	75
Sva0725CL	-1.584962501	2.275114782	58170	15.82798768	-0.30607793	3.531271732	N	0	18	Other	74
Nitrospirales	1	3.392699796	57859	15.82025377	2.27888457	4.738316189	N	0	18	Other	73
Opitutales	-0.584962501	0.501399051	50464	15.62296694	0.69392207	1.764311398	N	0	18	Other	72
ActinobacteriaPH	-1	-0.900376127	41866	15.35349146	0.27888457	0.340285115	N	0	18	Other	71
Rhodocyclales	-0.678071905	-1.00376263	39702	15.27692406	0.600812665	0.27888457	N	0	18	Other	70
SOGA31CL	0.415037499	2.231059106	38548	15.23436839	1.69392207	3.547373406	N	0	18	Other	68
Methylophilales	0	1.433932065	29274	14.83733227	1.27888457	2.748369854	N	0	18	Other	67
CH21CL	-2.169925001	-2.376747338	22805	14.47706255	-0.891040431	-1.136152929	N	0	18	Other	65
Anaerolineales	-1.321928095	-2.421065126	22391	14.45063134	-0.043043524	-1.136152929	N	0	18	Other	64
Pseudomonadales	-0.584962501	-1.105166453	20253	14.305848	0.69392207	0.214754233	N	0	18	Other	61
Clostridiales	-3.321928095	-4.398361399	17538	14.09819661	-2.043043524	-3.528470352	N	0	18	Other	60
Legionellales	-2.169925001	-2.905531059	16230	13.98637538	-0.891040431	-1.72111543	N	0	18	Other	59
Syntrophobacterales	-1.584962501	-0.527190667	14034	13.77663865	-0.30607793	0.793457743	N	0	18	Other	56
TK17CL	-2.321928095	-4.316490796	13350	13.70455212	-1.043043524	-3.113432852	N	0	18	Other	55
Thermomicrobiales	-1	1.844942218	13148	13.68255574	0.27888457	3.044419317	N	0	18	Other	54
Pirellulales	-3.321928095	-3.512376612	11319	13.46645889	-2.043043524	-1.808578271	N	0	18	Other	52
A4b	-2	-1.641281553	9796	13.25797706	-0.72111543	-0.30607793	N	0	18	Other	49
Chloroflexales	0	0.416257379	8969	13.13073143	1.27888457	1.863847071	N	0	18	Other	46
ElusimicrobiaPH	0.584962501	0.856843105	7008	12.77478706	1.863847071	2.27888457	N	0	18	Other	43
Caldilineales	0	-0.1522413	6393	12.64227738	1.27888457	1.015850165	N	0	18	Other	41
FAC88	-2.321928095	-1.800463419	6048	12.56224242	-1.043043524	-0.72111543	N	0	18	Other	38
GemmatimonadetesPH	1.584962501	1.992768431	3735	11.86689253	2.863847071	3.600812665	N	0	18	Other	34
Desulfuromonadales	-1	-0.963346118	3410	11.73555602	0.27888457	0.27888457	N	0	18	Other	33
MIZ46	-1	-1.701892827	2922	11.51274046	0.27888457	-0.72111543	N	0	18	Other	31
DeltaproteobacteriaCL	-1	-1.296599915	2582	11.33427329	0.27888457	-0.30607793	N	0	18	Other	29
BRC1PH	1	1.463353054	2510	11.29347165	2.27888457	2.863847071	N	0	18	Other	26
TM6PH	0	0.398689505	1646	10.68474862	1.27888457	2.27888457	N	0	18	Other	19
Thiotrichales	0	-0.802899864	1526	10.57553925	1.27888457	0.27888457	N	0	18	Other	17
Only_herit	3	2.25	55911	15.77084453	4	3.75	N	0	18	Other	101
Not_herit	-4.75	-5.5	180634	17.46270995	-3	-4.5	N	0	18	Other	102
ten6	1	1	1000000	1	3.5	-0.4	N	0	18	Other	1000
ten5	1	1	100000	1	3.5	-1	N	0	18	Other	1000
ten4	1	1	10000	1	3.5	-1.5	N	0	18	Other	1000
ten3	1	1	1000	1	3.5	-2	N	0	18	Other	1000
