Gene_annotation	Seed_dry_grain_maturity	Seed_imbibed_grain_maturity	Peduncle_floral_initiation	Panicle_lower_anthesis	Panicle_upper_anthesis	Panicle_floral_initiation	Leaf_blade_juvenile	Leaf_lower_growing_anthesis	Leaf_lower_growing_floral_initiation	Leaf_lower_growing_grain_maturity	Leaf_lower_whorl_vegetative	Leaf_lower_juvenile	Leaf_middle_whorl_vegetative	Leaf_sheath_growing_anthesis	Leaf_sheath_growing_floral_initiation	Leaf_sheath_growing_grain_maturity	Leaf_upper_growing_anthesis	Leaf_upper_growing_floral_initiation	Leaf_upper_whorl_vegetative	Leaf_upper_juvenile	Root_bottom_anthesis	Root_bottom_floral_initiation	Root_bottom_grain_maturity	Root_bottom_juvenile	Root_bottom_vegetative	Root_middle_floral_initiation	Root_top_juvenile	Root_top_vegetative	Root_ammonia	Root_control_fertilized	Root_control_water	Root_nitrate	Root_urea
Uncharacterized protein1	2.686873921	1.252521589	2.574312032	1.154841681	1.674087507	1.829942429	0.26462867	0.414801382	0.350673575	1.011974669	0.375296488	0.240276339	0.210512378	0.846649396	1.070961428	1.825342545	0.367449626	0.357438112	0.171548647	0.151525619	0.907800806	0.929447323	0.944329303	0.756004606	0.594467473	1.246298215	0.848543466	0.728405296	0.839614277	0.911859528	0.970305124	0.780627519	0.74572251
Disease resistance protein (RGA2)	0	0.013829495	3.29602966	0.469280866	0.537506375	1.15061399	0.133685119	0.136451018	0.345737377	0.373396367	0.335595747	0.191768998	0.124465456	0.735729138	1.056573424	1.893718859	0.293185296	0.233257484	0.039644553	0.042410452	3.064616109	1.217917533	1.917689984	1.487131704	0.680411158	1.099905842	1.051041626	0.697928518	1.051963592	2.323355173	3.49240849	1.527698223	1.103593707
chromatin assembly factor 1 subunit A (CHAF1A)	1.35000312	0.791014589	1.152616022	1.174975563	1.396188401	1.070081213	0.476453721	0.896214398	1.153532397	1.374500868	0.958527873	0.466068142	0.421776701	1.298625048	0.970440744	0.930731176	0.967874895	0.967080703	0.320059116	0.230987501	1.172898447	1.302229455	1.172654081	1.162696143	1.228125292	0.937390165	1.011738694	1.316463808	1.11608322	1.081688625	0.870678091	0.990051161	0.952174343
stearoyl-[acyl-carrier-protein] 9-desaturase 5 (SAD5)	2.613452915	0.590134529	0	1.433183857	1.85470852	0	0.421524664	0	3.582959641	1.095964126	0	0	0.337219731	4.931838565	0	0.46367713	0	0	0.716591928	0.716591928	3.793721973	0.969506726	0.379372197	1.180269058	1.475336323	0.46367713	0.632286996	0.632286996	0	5.22690583	1.180269058	0	1.559641256
F-box/kelch-repeat protein	0.336107217	1.219683632	0.26612537	0.951795952	0.750909014	0.348789266	1.736320629	1.841548689	1.990966275	1.095267798	0.71882508	0.750925485	1.384336146	1.015337954	0.91740619	0.627086108	2.190667358	4.734307411	2.510106741	2.746799877	0.329239147	0.606020731	0.323754573	1.274957598	0.802510127	0.539267041	0.774708443	0.949144251	0.521512174	0.835186989	0.668558052	0.535478897	0.51433117
exocyst complex component (EXO70B1)	3.167568264	2.496411946	0.803526132	0.539377442	0.601868994	0.568776541	1.067231619	1.463897856	1.224420772	1.868541738	0.80736722	0.701737291	0.624324588	0.938702894	1.417361594	1.770889454	1.112881476	0.926588692	0.361357771	0.324276495	0.769990476	0.698634873	0.67086085	0.853903482	0.582072616	1.67146436	1.108892654	0.868824633	0.859812849	0.983318612	1.20802228	0.730102251	0.860994722
Uncharacterized protein2	0	0.672553161	5.248652782	0.076154238	0.067597582	0.945510486	0	0.01369065	0	0	0.581852607	0.072731576	0.032515293	0	0	0	0	0	0.008556656	0	1.733578503	0.927541509	1.75753714	1.638599621	1.834547043	0.385905185	1.759248471	3.028200553	1.822567725	2.539615497	1.114076609	1.855938683	1.620630644
Uncharacterized protein3	0.02332249	0.640072779	0.051827755	0.298009594	0.352428737	0.09328996	0.616750289	0.572696697	1.591112091	0.168440205	0.173622981	0.559739759	0.896620169	0.362794288	0.183988532	0.103655511	0.531234493	1.808788664	1.363069967	0.917351271	2.036830788	2.156034625	1.653305398	2.974913161	3.985554392	0.349837349	1.860616419	4.503831946	1.938358053	2.700226057	1.756960909	2.570656669	2.682086343
beta-sesquiphellandrene synthase-like protein	0	0	0	0.157600596	0.083664514	0	2.223919523	3.500289783	2.443782083	1.638267925	0.398865706	1.019539659	2.795951316	1.219945355	0.035022355	0.647913562	5.335072032	5.772851465	7.234061931	3.366037423	0	0.007782745	0.009728432	0.011674118	0.007782745	0.025293923	0.017511177	0.011674118	0.017511177	0.011674118	0.027239609	0.007782745	0.02140255
"Endo-1,4-beta-xylanase like protein"	0.019024232	0.025365643	0	0.012682822	0.059609261	0.005073129	0.022829079	0.026633925	1.559987047	0.001268282	0.011414539	0.016487668	0.011414539	0.097657726	0.494630039	0	0.016487668	0.041853311	0.003804846	0.012682822	1.123697987	0.476874089	0.896675482	3.799773328	2.267688488	2.308273517	7.080819256	1.822521453	3.89489449	6.347752172	6.578579524	3.657725727	4.194209078
Uncharacterized protein4	0.974093264	5.661917098	0.106541451	3.850712435	0.837111399	1.11107513	0.33484456	0	0.304404145	0.213082902	0	0.091321244	0.258743523	0.33484456	0	0.045660622	0.091321244	0.182642487	0.106541451	0	1.750323834	2.572215026	2.450453368	2.861398964	5.281411917	0.761010363	0.821891192	4.368199482	1.034974093	1.841645078	1.902525907	2.176489637	2.830958549
Ser/Thr-protein phosphatase 6 regulatory ankyrin repeat subunit C (ANKRD52)	0.553724433	1.169386204	0.611254245	0.936019308	0.665536405	0.519160152	1.84002606	1.428734305	2.192164179	1.064301508	0.568338861	1.175417555	1.734477415	1.63264037	0.572282437	0.697085011	2.184277028	5.681068862	2.336916607	2.238327213	0.450031588	0.411523731	0.401316829	0.584809089	0.578777738	0.614501895	0.504545724	0.66205678	0.540965806	0.560219735	0.606846719	0.53609433	0.593160191
ubiquitin-like modifier-activating enzyme 5(UBA5)	0.412574421	2.008682518	0.896257883	1.164721135	1.321610634	0.857449621	0.57112037	0.758890833	0.501431143	1.150404672	0.813198736	0.455050537	0.406776845	1.16389291	0.880048334	1.166259267	0.682812441	0.503560864	0.346198094	0.390567296	1.262924969	1.382899291	1.532689718	1.473294146	1.573272748	1.216662681	1.143068964	1.685319773	1.1711103	0.992450313	0.989492366	1.174186565	1.177854419
"chaperone protein, DnaJ-like"	0.166068388	0.17849967	0.043171011	0.449926249	0.317336165	0.01603143	3.189608475	1.359379143	2.452870397	2.810915933	1.083860087	2.3841291	3.32656797	1.163063354	1.964173318	1.834691054	1.971127451	3.666951239	5.167966993	4.042905207	0.014492905	0.030616647	0.015631414	0.033109058	0.027939614	0.021693202	0.037693862	0.029724303	0.041140158	0.057633146	0.03633996	0.030278172	0.037139993
protein indeterminate-domain 16 (IDD16)	0.049364809	3.548389517	1.491522457	0.470141042	0.035260578	1.223542063	0.183355007	0.016454936	0.465439632	0.023507052	2.438856657	0.555941783	0.104606382	0.314994498	0.986120836	0.17160148	0	0.02703311	0	0.075222567	0.343202961	0.872111633	0.344378313	1.6690007	1.893493048	0.05876763	0.465439632	2.10623187	1.632564769	1.519730919	0.913248975	1.205911774	2.087426228
choline/ethanolamine kinase	1.907433211	0.478534204	1.13548741	1.781611718	1.299467881	1.473761589	0.695112184	2.310165122	1.248933019	1.069998354	1.060716441	0.600746064	0.921487739	4.451193154	2.456613089	1.697558835	1.198398157	1.360831642	1.026167096	0.965318997	0.207296067	0.179450326	0.265050195	0.221218937	0.176356355	0.20832739	0.121696198	0.156761205	0.150057601	0.140775687	0.222250261	0.137166054	0.191310549
Uncharacterized protein5	1.230065004	0.582241432	0.393492836	1.068509002	0.675016166	0.540652758	0.684613552	1.962665487	0.831773474	0.785386108	4.211652997	2.863220229	3.787768438	1.71153388	2.089031072	0.719803968	1.783514277	1.49559269	1.975462002	1.527583977	0.049586496	0.087976041	0.07677909	0.110369942	0.063982575	0.023993466	0.033590852	0.084776912	0.054385189	0.055984753	0.055984753	0.060783446	0.038389545
Uncharacterized protein6	4.222844868	2.278229196	7.197565456	1.412004608	2.762554092	6.249400704	0.128763114	0.267768749	0.130226332	0.308738831	0.257526229	0.389215778	0.212166495	0.829644158	0.81793842	0.358488216	0.087793033	0.081940164	0.316054917	0.273621618	0.456523769	0.457986987	0.59260297	1.071074998	1.324211575	0.049749385	0.58236045	1.757323869	0.474082376	0.594066187	0.282400922	0.370193954	0.706733912
NDR1/HIN1-like protein 6 (NHL6)	0	1.534364261	0	2.180412371	0	0	0	10.41752577	0	0	0	0	0	0	0	0	2.099656357	0	0	0	1.211340206	0	1.049828179	0	0	2.745704467	2.261168385	0	0	1.453608247	0	0	0
gamma carbonic anhydrase-like 2 (GCAL2)	0.732620766	2.21050407	1.297788224	0.954754753	0.809073385	0.959570666	0.328786394	0.810277363	0.498948654	0.563562153	1.287253414	0.840978809	0.853720912	0.913317835	1.425209255	0.589247023	0.32587678	0.595969235	0.414369182	0.409954595	1.253241028	1.588348308	1.383471343	1.338522821	1.726404481	0.69991269	1.078764513	1.774864606	1.410560853	1.610722238	0.968700835	1.515507624	1.738945921
Uncharacterized protein7	1.526149332	3.157648794	0.218795777	1.171681381	1.215628467	0.157284311	0.982304131	1.015661994	1.155237364	2.437292431	0.215253988	0.388223362	0.37517657	1.850475942	0.991122461	3.992824149	0.844282811	0.667627086	0.511246293	0.433471514	0.572071085	0.561987831	0.707887822	0.556494445	0.462637056	0.819454152	0.692889433	0.650640959	0.459890363	0.592671282	0.569288251	0.400511199	0.578431847
Uncharacterized protein8	4.790133123	2.531333571	0.308984914	1.827284145	2.352392812	0.245754555	0.321083837	0.833708265	0.716379538	1.338241057	0.282899019	0.39525717	0.220631951	1.195057625	2.387340975	1.076264697	0.677539683	0.461955372	0.210883456	0.210112824	0.780072275	1.182496323	0.925991451	0.763889003	0.74963231	0.526226084	0.692836729	0.921598848	0.522488518	0.583792297	0.479101935	0.462263625	0.708519091
Uncharacterized protein9	22.96810377	0.654561205	0.07620888	1.468847871	1.586815042	0.111703427	0.069945137	0.259945359	0.153461718	0.444725795	0.056373692	0.132582573	0.006263744	0.205659581	0.853957042	1.115990316	0.310055308	0.204615624	0.026098932	0.014615402	0.708846983	0.874836188	1.052308923	0.727638213	0.77461629	0.169121077	0.434286222	0.732858	1.017858333	0.874836188	0.806978965	0.570000666	0.929121965
