Manual_Rank_fig5	Manual_Rank	OTUID	Phylum	Order	Order_fig5	Pvalue	MaxClass	IndicatorValueforMaxClass	RelAbu_G1	RelAbu_G2	RelFrq_G1	RelFrq_G2	AlelleRatio	Log2ratio	CellWall
1	2	X1576	Actinobacteria	Actinomycetales	Actinomycetales	0.006548565	G1	0.532238014	0.684306018	0.315693982	0.777777778	0.548387097	2.167624521	1.116114873	monoderm
2	3	X1535	Actinobacteria	Actinomycetales	Actinomycetales	0.001368102	G1	0.599109131	0.599109131	0.400890869	1	1	1.494444444	0.579609266	monoderm
3	4	X78	Actinobacteria	Actinomycetales	Actinomycetales	0.02752649	G1	0.590091265	0.590091265	0.409908735	1	1	1.43956743	0.525635367	monoderm
4	5	X764	Actinobacteria	Actinomycetales	Actinomycetales	0.003089956	G1	0.588829667	0.588829667	0.411170333	1	1	1.432082082	0.518114185	monoderm
5	6	X249	Actinobacteria	Actinomycetales	Actinomycetales	0.013400662	G1	0.586032511	0.586032511	0.413967489	1	0.967741935	1.415648633	0.50146323	monoderm
6	7	X505	Actinobacteria	Actinomycetales	Actinomycetales	0.006360927	G1	0.564717162	0.564717162	0.435282838	1	1	1.297356828	0.375575336	monoderm
7	8	X231	Actinobacteria	Actinomycetales	Actinomycetales	0.011071744	G1	0.559760733	0.559760733	0.440239267	1	1	1.271492063	0.346522456	monoderm
8	9	X105	Actinobacteria	Actinomycetales	Actinomycetales	0.024262141	G1	0.559579726	0.559579726	0.440420274	1	1	1.270558509	0.345462813	monoderm
9	10	X67	Actinobacteria	Actinomycetales	Actinomycetales	0.01992936	G1	0.557294039	0.557294039	0.442705961	1	1	1.258835633	0.332089922	monoderm
10	11	X131	Actinobacteria	Actinomycetales	Actinomycetales	0.007826159	G1	0.556711586	0.556711586	0.443288414	1	1	1.255867665	0.328684451	monoderm
11	12	X661	Actinobacteria	Actinomycetales	Actinomycetales	0.017002208	G1	0.553764878	0.553764878	0.446235122	1	1	1.240971071	0.311469484	monoderm
12	13	X30	Actinobacteria	Actinomycetales	Actinomycetales	0.029695364	G1	0.550207775	0.550207775	0.449792225	1	1	1.223248748	0.290717806	monoderm
13	23	X1318	Actinobacteria	Solirubrobacterales	Solirubrobacterales	0.007737859	G1	0.567917784	0.68150134	0.31849866	0.833333333	0.677419355	2.13973064	1.097429194	monoderm
14	24	X2530	Actinobacteria	Solirubrobacterales	Solirubrobacterales	0.007230684	G1	0.568562025	0.639632278	0.360367722	0.888888889	0.741935484	1.774943311	0.827772948	monoderm
15	25	X2444	Actinobacteria	Solirubrobacterales	Solirubrobacterales	0.026703642	G1	0.504343784	0.626081939	0.373918061	0.805555556	0.580645161	1.674382716	0.743629324	monoderm
16	26	X243	Actinobacteria	Solirubrobacterales	Solirubrobacterales	0.015251656	G1	0.583696125	0.583696125	0.416303875	1	1	1.402091503	0.487580505	monoderm
