rank,OTU0,Order,Phylum
1,X692,Sphingobacteriales,Bacteroidetes
2,X14,Sphingobacteriales,Bacteroidetes
3,X172,Actinomycetales,Actinobacteria
4,X544,Actinomycetales,Actinobacteria
5,X798,Actinomycetales,Actinobacteria
6,X1170,Actinomycetales,Actinobacteria
7,X78,Actinomycetales,Actinobacteria
8,X30,Actinomycetales,Actinobacteria
9,X312,Verrucomicrobiales,Verrucomicrobia
10,X766,Myxococcales,Proteobacteria
11,X1020,Gemmatimonadales,Gemmatimonadetes
12,X199,Gemmatimonadales,Gemmatimonadetes
13,X734,Rhodospirillales,Proteobacteria
14,X318,Burkholderiales,Proteobacteria
15,X577,Burkholderiales,Proteobacteria
16,X947,Burkholderiales,Proteobacteria
17,X1190,Acidobacteriales,Acidobacteria
18,X190,Solirubrobacterales,Actinobacteria
19,X445,Xanthomonadales,Proteobacteria
20,X302,Solibacterales,Acidobacteria
21,X531,Spartobacteriales,Verrucomicrobia
22,X1289,Bacillales,Firmicutes
23,X11,Bacillales,Firmicutes
24,X325,Bacillales,Firmicutes
25,X1239,Bacillales,Firmicutes
26,X904,Other,Actinobacteria
27,X943,Other,Actinobacteria
28,X1039,Other,AD3
29,X506,Other,Chloroflexi
30,X94,Other,Proteobacteria
31,X82,Other,Proteobacteria
32,X326,Other,Actinobacteria
33,X461,Other,Actinobacteria
34,X695,Other,Proteobacteria
35,X286,Other,Proteobacteria
36,X205,Other,Proteobacteria
37,X148,Other,Proteobacteria
38,X340,Other,Proteobacteria
39,X996,Other,unclassified
40,X18,Burkholderiales,Proteobacteria
41,X1158,Sphingobacteriales,Bacteroidetes
42,X682,Sphingobacteriales,Bacteroidetes
43,X521,Verrucomicrobiales,Verrucomicrobia
44,X730,Verrucomicrobiales,Verrucomicrobia
45,X422,Rhizobiales,Proteobacteria
46,X846,Spartobacteriales,Verrucomicrobia
47,X359,Other,Proteobacteria
48,X802,Other,Proteobacteria
49,X1103,Other,Elusimicrobia
50,X323,Other,Chloroflexi
