trait	Var_ratio	SNP_H2	Phenotype_H2
X0	V(G)/Vp	0.22764	0.214212703
X1	V(G)/Vp	0.035182	0.145205198
X10	V(G)/Vp	0.025715	0.014953205
X1002	V(G)/Vp	0.020285	0.0672467
X1003	V(G)/Vp	0.000001	0.119304106
X1004	V(G)/Vp	0.000001	0.004542234
X1008	V(G)/Vp	0.005045	0.241773429
X1012	V(G)/Vp	0.009542	0.192628687
X1013	V(G)/Vp	0.000001	0.096727927
X1015	V(G)/Vp	0.06134	0.13252108
X1016	V(G)/Vp	0.009462	0.047953967
X1017	V(G)/Vp	0.123817	0.052220159
X1019	V(G)/Vp	0.000001	0.06799623
X1020	V(G)/Vp	0.028982	0.042662348
X1021	V(G)/Vp	0.000001	0.034457033
X1024	V(G)/Vp	0.073656	0.085603906
X1027	V(G)/Vp	0.000001	0.1070329
X103	V(G)/Vp	0.112681	0.088699297
X1030	V(G)/Vp	0.136142	0.167778813
X1033	V(G)/Vp	0.012359	0.035651521
X1037	V(G)/Vp	0.013678	0.099938251
X1038	V(G)/Vp	0.02578	0.071919726
X1039	V(G)/Vp	0.063862	0.061404752
X104	V(G)/Vp	0.113964	0.207791092
X1042	V(G)/Vp	0.042548	0.265455298
X1043	V(G)/Vp	0.000001	0.131953505
X1044	V(G)/Vp	0.028751	0.051870223
X105	V(G)/Vp	0.085083	0.205841732
X1051	V(G)/Vp	0.024433	0.189033023
X1053	V(G)/Vp	0.000001	0.137614011
X1054	V(G)/Vp	0.000001	0.101991428
X1056	V(G)/Vp	0.012094	0.298006196
X1060	V(G)/Vp	0.068029	0.09671399
X1065	V(G)/Vp	0.000001	0.229314717
X1067	V(G)/Vp	0.035409	0.066527399
X107	V(G)/Vp	0.051354	0.203638649
X1070	V(G)/Vp	0.005269	0.094058012
X1071	V(G)/Vp	0.000001	0.051861391
X1073	V(G)/Vp	0.000001	0.030855667
X1077	V(G)/Vp	0.003202	0.097545783
X1079	V(G)/Vp	0.061118	0.202898306
X108	V(G)/Vp	0.043644	0.227891167
X1081	V(G)/Vp	0.000001	0.195439941
X1084	V(G)/Vp	0.000001	0.08502097
X1088	V(G)/Vp	0.047576	0.01265068
X1089	V(G)/Vp	0.050633	0.107989676
X109	V(G)/Vp	0.142329	0.270446946
X1092	V(G)/Vp	0.034371	0.184112319
X1093	V(G)/Vp	0.000001	0.023114927
X1095	V(G)/Vp	0.015004	0.0490675
X1096	V(G)/Vp	0.000001	0.000717823
X1097	V(G)/Vp	0.000001	0.172278243
X1098	V(G)/Vp	0.000001	0.004284203
X11	V(G)/Vp	0.163464	0.188064094
X110	V(G)/Vp	0.143406	0.294332867
X1101	V(G)/Vp	0.053962	0.316182478
X1103	V(G)/Vp	0.052755	0.016427649
X1109	V(G)/Vp	0.02185	0.048777252
X1112	V(G)/Vp	0.002345	0.239394559
X1113	V(G)/Vp	0.040842	0.089281742
X1117	V(G)/Vp	0.000001	0.028684045
X1118	V(G)/Vp	0.020799	0.102947142
X112	V(G)/Vp	0.072264	0.104737063
X1120	V(G)/Vp	0.000001	0.007267006
X1122	V(G)/Vp	0.000001	0.058124025
X1125	V(G)/Vp	0.000001	0.242103513
X1126	V(G)/Vp	0.196783	0.06885509
X113	V(G)/Vp	0.079151	0.255622
X1132	V(G)/Vp	0.096015	0.169336324
X1139	V(G)/Vp	0.016757	0.121565738
X114	V(G)/Vp	0.069894	0.180279837
X1145	V(G)/Vp	0.000001	0.203589634
X115	V(G)/Vp	0.19803	0.148499019
X1151	V(G)/Vp	0.033679	0.14087977
X1152	V(G)/Vp	0.000001	0.085400536
